index,utterance_idx,utterance,video_id,sentiment
28,19.0,I THOUGHT IT WAS REALLY WELL PUT TOGETHER,Af8D0E4ZXaw,2.4
100,20.0, THE THIRD ONE WAS MORE KID HUMOUR THOUGH,k5Y_838nuGo,0.4
912,5.0,I FEEL LIKE IT ALMOST SHOULD HAVE HAD A G RATING,nzpVDcQ0ywM,-0.4
1453,5.0,AND I WHO WOULD I MEAN ,Vj1wYRQjB-o,0.5
1313,16.0,BUT THE WAY ITS PULLED OFF ITS LIKE WOW THAT WAS SICK,atnd_PF-Lbs,2.2
132,9.0,LIP SMACKING ALL THE PROBLEMS THAT COME TO STOP THEM FROM GETTING TO THEIR DESTINATION ARE ALTHOUGH PLAUSIBLE A LITTLE WEAK,TvyZBvOMOTc,-0.8
333,21.0,I MEAN YOU CAN GO SEE I PERSONALLY DIDNT LIKE IT ,OtBXNcAL_lE,-2.0
24,15.0, I ALSO LOVE THE CASTING OF MARK STRONG AS SINESTRO,Af8D0E4ZXaw,2.0
77,24.0,BUT I KINDA WOULD HAVE READ THAT BEEN LIKE HM I MEAN SCHWARZANEGGER NEVER SAID ANYTHING REALLY THAT BADASS IN HIS MOVIES,jUzDDGyPkXU,-1.0
1249,1.0,NOTHING NEW IS BROUGHT IN THOSE PREDATOR SERIES NO SURPRISES NO BIG TWIST NO FINISH,pLTX3ipuDJI,-2.4
26,17.0, AND UM FINALLY A PARTICULAR STAND OUT SCENE FOR ME WAS THE FIGHTER JET SEQUENCE,Af8D0E4ZXaw,1.4
1470,13.0,AND ONCE SAM FLYNN ENTERS THE GRID YOU KNOW THE SOUNDTRACK DRAWS YOU IN,BioHAh1qJAQ,1.4
1029,20.0,ILL TELL YOU WHO MADE THE MOVIE,7JsX8y1ysxY,0.8
1064,16.0,AND IM IM NOT REALLY IN A BIG HURRY AT MY AGE TO GO SEE ANIMATED MOVIES,G-xst2euQUc,-0.2
1373,15.0, UM MEDUSA WAS WAY DIFFERENT FROM PERCY JACKSON AND GLANDON LAWS,OQvJTdtJ2H4,-0.4
22,13.0, THEY DO A GREAT JOB WITH THEIR ROLES,Af8D0E4ZXaw,2.0
577,17.0,LIKE IT WAS LIKE THE ACTING WAS TERRIBLE THE ACTION MADE UP FOR IT,etzxEpPuc6I,-0.4
144,6.0, BUT AS THE TRAILERS CAME OUT I I REALLY LIKED WHAT I WAS SEEING,Nzq88NnDkEk,1.8
543,26.0,ACTION SCENSE WERE VERY DUMB,d6hH302o4v8,-2.6
1093,24.0,AND ALSO I LIKE HOW ITS KIND OF UPFRONT TO SHOW THEM TO US INSTEAD OF HIDING THEM LIKE SHOWING A LITTLE LIKE AN ARM ON SCENE OR SOMETHING NO THEY JUST STRAIGHT UP SHOW IT TO US,2WGyTLYerpo,1.6
433,13.0,WHICH IS A TERRIBLE PICTURE,LSi-o-IrDMs,-2.4
1508,5.0,THIS IS A MOVIE THAT YOURE GONNA GO OUT AND SEE,2iD-tVS8NPw,2.0
231,29.0,BUT CLAP HUH ITS A PASS,f9O3YtZ2VfI,-2.0
149,11.0,IT SEEMED LIKE THERE WAS NO STORY DEVELOPMENT IN IT,Nzq88NnDkEk,-2.0
146,8.0, AND AND BEING A FAN OF THE ORIGINAL I WAS I WAS LOOKING FORWARD TO SEEING IT ,Nzq88NnDkEk,-1.0
1359,1.0, IT COULDVE BEEN BETTER,OQvJTdtJ2H4,-1.0
1406,3.0, DREAMWORKS IS CONFUSING ME,dq3Nf_lMPnE,-1.2
970,5.0,THE STORY IS PRETTY SIMPLE,6_0THN4chvY,0.0
931,24.0,AND HE DELIVERS A LOT OF INTENSITY,nzpVDcQ0ywM,1.6
1505,2.0,BUT I AT THE SAME TIME I DO WANNA JUST SAY THAT I ENJOYED THIS MOVIE,2iD-tVS8NPw,2.2
62,9.0, THE ALIENS ARE REALLY AWESOME,jUzDDGyPkXU,2.8
351,15.0, INTERESTINGLY IT TURNED OUT TO BE MORE OF A ROMANTIC COMEDY THAN IT WAS A THRILLER,8OtFthrtaJM,0.0
38,29.0, THIS IS STAR WARS PREQUAL TERRITORY,Af8D0E4ZXaw,-0.4
1506,3.0, I ENJOYED IT FOR WHAT IT WAS YOU KNOW,2iD-tVS8NPw,1.4
788,11.0,OF I COULDNT I COULDNT EVEN BELIEVE IT WAS RUSSELL BRAND,9J25DZhivz8,0.8
290,9.0,LIKE IT CRACKED ON STREIGHT AWAY WITH WHAT THE HELL IS GOING ON ,Clx4VXItLTE,-1.0
588,9.0,BUT I DONT THINK THE HUMOUR REDEEMED THE MOVIE FROM BEING SO BAD IN THE DIALOGUE DEPARTMENT,Dg_0XKD0Mf4,-1.8
1166,8.0, I RECOMMEND THIS FILM TO CHILDREN SIX AND UP,9c67fiY0wGQ,2.2
734,22.0,I MEAN EVEN IF YOU DONT HAVE KIDS,zhpQhgha_KU,0.6
1292,28.0,HE WAS THE ONLY CHARACTER THAT WAS SLIGHTLY INTERESTING,c7UH_rxdZv4,-0.8
1530,27.0,AND IT DOES KIND OF A LEA HELPS ALLEVIATE WHAT THAT WHOLE WAS IS ABOUT FIGHTING THE ULTIMATE ENEMY WITHIN THIS FIRST MOVIE AND THAT THE THREAT IS STILL THERE POTENTIALLY SPEAKING,2iD-tVS8NPw,1.4
1334,16.0,LIP SMACKING ANYWAY LIP SMACKING I LOVE SABRE TOOTH IN THIS MOVIE,cW1FSBF59ik,3.0
755,8.0, SO UM IM GONNA POINT OUT THE STUFF I DID LIKE THERE WERE SOME ACTION SCENES IN IT,8d-gEyoeBzc,1.2
1512,9.0,AND THE REST OF IT DOES LOOK GOOD AS WELL,2iD-tVS8NPw,1.4
872,6.0,NOT A COMPLICATED STORY,bvLlb-M3UXU,-0.4
93,13.0,AND IT JUST WAS BETTER,k5Y_838nuGo,0.6
1287,23.0,KATO WAS THE ONLY ONE THAT WAS ANY GOOD WHATSOEVER,c7UH_rxdZv4,-0.6
1298,1.0,ITS BAD,atnd_PF-Lbs,-3.0
124,1.0,WHICH WOULD HAVE BEEN A BETTER NAME FOR THE MOVIE,TvyZBvOMOTc,-0.2
1203,7.0,THE SOUNDTRACK IS GOOD ITS REALLY GOOD SOME REALLY GREAT SONGS,ZUXBRvtny7o,2.4
937,6.0,SOUND OF CARS THE ACTION AND HUMOR WERE MOSTLY FLAT,tmZoasNr4rU,-1.8
346,10.0, I I SHOULD GIVE IT A SHOT YOU KNOW,8OtFthrtaJM,0.6
1178,8.0,I REALLY LIKED IT,BvYR0L6f2Ig,0.8
561,1.0,UM SO CHANNING TATUM AND MARLON ARE TRANSPORTING IT THEY GET AMBUSHED BY UM I THINK ITS COBRA ITS KINDA HARD TO EXPLAIN IT,etzxEpPuc6I,0.4
1253,5.0,YOU DONT SEE ANY OF THE PERSONALITIES WHEN ONE DIES YOU DONT MOURN OVER THAM AN YOU DONT GET AN ATTACHMENT TO ANYBODY,pLTX3ipuDJI,-2.0
1374,16.0,BUT THE BEST PART ABOUT THE MOVIE I VE GOT A FREE PAIR OF GLASSES,OQvJTdtJ2H4,-1.0
134,11.0,LIP SMAKCING A LOT OF THIS MOVIE BRINGS A CUTE LAUGH HERE AND THERE,TvyZBvOMOTc,1.0
985,6.0,ARE THESE TWO THINGS POSSIBLE IN THE SAME SENTANCEI I REALLY DO THINK SO,QN9ZIUWUXsY,0.8
914,7.0,AND I HATE TO SAY THAT,nzpVDcQ0ywM,-1.0
1330,12.0, AFTER HE BUSTS ALL HIS CAPS IN THE AIR AND RANS AND ALL THE DEAD BODIES FALL AROUND HIM FUCKING SICK ,cW1FSBF59ik,2.2
239,7.0, BUT MOSTLY ITS JUST KATE HUDSON BEING VERY ANNOYING,iiK8YX8oH1E,-1.6
1132,63.0,AND I DEFINATELY RECOMMEND YOU CHECK IT OUT IN THEATERS,2WGyTLYerpo,2.2
266,16.0,BUT I LOVE THE MOMENT WITH CHARLOTTE IN THE CLOSET BECAUSE WHO HASNT EXPERIENCED THAT,Bfr499ggo-0,2.2
698,14.0,I LOVE WHEN PEOPLE DO THIS,_dI--eQ6qVU,2.2
1067,19.0,AND I WAS THOROUGHLY UM SURPRISED,G-xst2euQUc,0.6
1017,8.0,BECAUSE WHAT WAS WEIRD WAS THE FACT THAT IN PART OF THE MOVIE HES WEARING LIKE A BLUE UM OVERALL FLONG THING MEDAL FLONG THING SO I WAS LIKE WHY NOT WEAR THE WHOLE WHOLE TIME YOU KNOW WHY WHY YOU GOT TO GO COMMAND ON US ,7JsX8y1ysxY,-1.2
484,11.0,LIKE I THINK MOST PEOPLE THATS THEIR KNOCK ON IT IS THAT ITS NOT YOU KNOW CONVENTIONALLY SATISFYING AS LIKE YOU KNOW WITH DRAMA THAT WE DONT GET TO KNOW ANYTHING ABOUT THESE CHARACTERS THEIR PLAY ISNT INTERESTING THEIR PATH TO FREEDOM IS NOT COMPELLING AND ITS BASICALLY TELESCOPED WITHIN THE FIRST TEN MINUTES OF THE MOVIE WHERE WERE SORT OF TOLD WHATS GONNA HAPPEN BEFORE IT HAPPENS,Oz06ZWiO20M,-1.6
1408,5.0,EVERYTHING THAT HAPPENED IN SHREK 1 2 AND 3 ARE WIPED AWAY,dq3Nf_lMPnE,1.2
603,6.0,CAUSE THIS IS A FILM THAT BASICALLY SAYS YOU KNOW WHAT YOU SHOULD DO YOU SHOULD TAKE CARE OF POOR PEOPLE BECAUSE JESUS TOLD US TO TAKE CARE OF POOR PEOPLE AND IF YOU DONT TAKE CARE OF POOR PEOPLE YOURE GONNA BURN IN HELL,yDtzw_Y-7RU,-1.2
831,7.0,I HONESTLY WANTED THE ALIENS TO WIN,rnaNMUZpvvg,-0.4
695,11.0,I FEEL LIKE IF THEY WOUDLNT HAVE INSERTED THE HUMOR INTO THIS MOVIE IT WOULDVE BEEN JUST TOO SERIOUS AND KIND OF BORING IN A SENSE ,_dI--eQ6qVU,0.4
454,5.0,IT MAKES BIG POWERFULS STATEMENTS,5W7Z1C_fDaE,2.0
531,14.0,I I I DIDNT REALLY CARE FOR HIS CHARACTER AT ALL,d6hH302o4v8,-1.8
891,25.0, WHICH WOULD START THE PLANNING THAT I WISH IT HAS HAPPENED EARLIER IN THEIR CAREERS,bvLlb-M3UXU,-1.4
1345,3.0,YOU KNOW OF COURSE I WAS WAITHING FOR THE PRINCESS AND THE FROG,cM3Yna7AavY,1.0
477,4.0,BUT I WOULD SAY I I ENJOYED SUCKER PUNCH,Oz06ZWiO20M,1.6
563,3.0,UM FROM THERE IT JUST GOES INTO RIDICULOUSNESS ,etzxEpPuc6I,-1.6
1057,9.0,UM I THOUGHT THE STORY LINE WAS REALLY CUTE,G-xst2euQUc,2.0
1455,7.0,THE ACTION THEY DO HAVE IS REALLY WELL DONE,Vj1wYRQjB-o,1.8
1213,17.0,I MEAN THE BLOOD IS LIKE TWILIGHT WITH SOME SCIFI WITH SOME ACTION AND WITH LIKABLE CHARACTERS AND THAT THAT IS IMPORTANT GUYS,ZUXBRvtny7o,1.6
1147,15.0,AND THE LAST BIG THING WAS UM JUST THE THE IT IT I KNOW ITS ABOUT JIJOE YOU KNOW OBVIOUSLY ITS GONNA BE ABOUT THE ARMY BUT IT JUST FELT LIKE UM LIKE UM MILITARY PROPAGANDA KIND OF LIKE YOU KNOW,8qrpnFRGt2A,-1.6
1206,10.0, ITS STUTTERING THAT IS A GOOD THING,ZUXBRvtny7o,1.25
315,3.0,UH I PERSONALLY THINK ITS A WASTE OF MONEY ,OtBXNcAL_lE,-1.2
1473,16.0,BECAUSE THE MINUTE THE SOUNDPLANE ENTERS THE GRID HE IS PUT IN THE GAMES,BioHAh1qJAQ,0.25
713,1.0,IM GONNA START OFF WITH SAYING THAT I REALLY WASNT VERY IMPRESSED WITH THE MOVIE,zhpQhgha_KU,-1.6
589,10.0,WHOEVER WROTE THIS ISNT THE WRITER DEFINATELLY,Dg_0XKD0Mf4,-1.6
95,15.0,COZ THE FIRST TWO WERE GREAT AND THEY BROUGHT IN THE KIDS AND IT MADE IT MORE KIDDY FRIENDLY MOVIE,k5Y_838nuGo,-0.8
837,13.0,BUT HE WASNT EVEN INTERESTING,rnaNMUZpvvg,-2.0
997,18.0,AND BASICALLY THIS MAKES NO SENSE ,QN9ZIUWUXsY,-1.8
936,5.0,AND MAYBE PLANET TERROR IM IM NOT SURE IM JUST,tmZoasNr4rU,-0.8
1416,13.0, IF AWARD FOR THE GREAT CHARACTERS OF SHREK IN HIS SUPPORTING CAST THEY ARE STILL VOICED BY THE ORIGINAL STARS MIKE MYERS EDDIE MURPHY CAMERON DIAZ AND ANTONIO BANDERAS THE FILM WOULD BE A REAL BUST,dq3Nf_lMPnE,-1.2
207,5.0,THE FIRST PROBLEM IS THAT ITS ALL TOLD IN FLASHBACK FROM A POINT JUST BEFORE KATRINA HITS NEW ORLEANS,f9O3YtZ2VfI,-1.8
1302,5.0, I HATE IT,atnd_PF-Lbs,-2.8
1184,14.0,THEY WERE JUST THEYRE JUST THEY JUST WHY ACTING WHAT THEYRE DOING ANYWAY,BvYR0L6f2Ig,-1.8
947,16.0,BUT I FEEL THAT THE MOVIE WASNT REALLY CONCERNED WITH BEING EXCITING,tmZoasNr4rU,-1.4
954,3.0, BECAUSE IT HAD A REAL NOSTALGIC FEEL TO IT,1DmNV9C1hbY,1.0
676,11.0,THIS CREDIT SEQUENCE I THINK IS THE BEST CREDIT SEQUENCE UM SINCE WATCHMAN,d3_k5Xpfmik,2.4
1,2.0,IT REACHED THE NEW HIGHTS OF HORRENDOUS,nbWiPyCm4g0,-2.4
222,20.0, BUT DONT GET ME WRONG ITS NOT ALL BAD,f9O3YtZ2VfI,-0.4
163,25.0,BUT UM FROM MY REVIEW IM GONNA SAY IM GONNA GIVE IT TWO THUMBS DOWN,Nzq88NnDkEk,-2.8
711,27.0,SO I MEANT IF I WAS WEARING 3D GLASSES AND WAS SEEING THIS IN 3D I WOULDVE ENJOYED IT A LOT MORE ,_dI--eQ6qVU,-0.4
312,31.0,BECAUSE THERE IS PEOPLE THAT WANNA GO AND SEE IT HAVENT SEEN IT YET AND MIGHT SEE THIS VIDEO ,Clx4VXItLTE,0.2
1377,3.0, SHE DIDNT REALLY DO ANYTHING FOR ME,Qr1Ca94K55A,-1.6
1527,24.0,BUT THEN YOU KIND OF LIKE WALK OUT OF THE MOVIE AND YOURE LIKE WELL I I GET WHAT HAPPENED I UNDERSTAND WHAT HAPPENED,2iD-tVS8NPw,-1.0
1101,32.0,HES A REALLY BAD ASS,2WGyTLYerpo,2.2
1323,5.0,THATS FREAKING EPIC ,cW1FSBF59ik,2.0
60,7.0,I DIDNT REALLY SEE A COMPARISON TO BLACK HAWK DOWN UNTIL LIKE THE VERY VERY END,jUzDDGyPkXU,-0.6
479,6.0,AND SUCKER PUNCH IS A FAILER BUT LIKE A REALLY AMBITIOUS WEIRD THE INTERESTING IDIOSYNCRATIC FAILURE,Oz06ZWiO20M,-0.8
1216,20.0, UM THE ENDING IS OPEN FOR A SEQUEL ,ZUXBRvtny7o,0.25
1151,19.0,I I GUESS UM BUT THE FUNNY THING IS UM I MEAN FUNNY THING IS DESPITE AS DESPITE EVERYTHING BAD ABOUT THIS MOVIE I ENDED UP HALF WAY LIKING IT,8qrpnFRGt2A,0.6
1279,15.0,BORING ,c7UH_rxdZv4,-2.4
1164,6.0,I ALSO THOUGHT SOME PARTS OF THE MOVIE WERE FUNNY FOR EXAMPLE UM GARGAMELS CAT FACIAL EXPRESSIONS,9c67fiY0wGQ,1.8
1022,13.0,ALL RIGHT SO ENOUGH OF THE NUDITY,7JsX8y1ysxY,-1.6
908,1.0, AND HE REALLY SEEMS TO BE CHANNELING MICHAEL BAY IN THIS MOVIE ,nzpVDcQ0ywM,0.0
1507,4.0, ITS A HUGE SORT OF SPECTACLE MOVIE THAT IS GREAT FOR THIS SUMMER TIME YOU KNOW,2iD-tVS8NPw,2.2
1479,22.0,THE WRITERS JUST PULL THIS OUT OF THEIR ASS,BioHAh1qJAQ,-2.2
1231,1.0,I JUST WANTED TO LET YOU KNOW THAT 3D IS REALLY RIDICULOUSLY EXPENSIVE,MLal-t_vJPM,-1.2
441,21.0,UM BUT THIS LOOKED AMAZING LOOKED REALLY GOOD ,LSi-o-IrDMs,2.8
1143,11.0,WHICH I MEAN FOR A MOVIE ABOUT JI JOE NINTY MINUTES IS ENOUGH,8qrpnFRGt2A,-0.8
19,10.0,AND SECONDLY BECAUSE AS A MARVELL GEEK I HAVE EXPERIENCED MY FAIR SHARE OF DISAPPOINTMENTS OVER THE LAST DECADE AND I CAN GENUINLY SYMPHATIZE WITH YOU,Af8D0E4ZXaw,-0.75
1418,15.0,I GIVE SHREK FOREVER AFTER DIRECTED BY MIKE MITCHELL A GRADE OF B MINUS,dq3Nf_lMPnE,1.0
1106,37.0, HARRISON FORD IS ALSO GOOD,2WGyTLYerpo,1.4
198,28.0,UH I RATED IT FOUR OUT OF FIVE STARS,W8NXH0Djyww,1.8
684,19.0,AND THE STYLE OF THE FILM LIKE THE UM THE FREE STREAMS OF SLOW MOTION THE UM THE JUMP COOKS AND ALL THAT STUFF FEELS VERY KIND OF UM TARANTINO ASK ,d3_k5Xpfmik,0.2
417,36.0,IT WASNT THE IT WASNT THE USUAL ,I5y0__X72p0,-1.2
529,12.0, HE WAS VERY GOOD IN HELLBOY,d6hH302o4v8,1.4
657,36.0,AND IT DIDNT EVEN YOU KNOW TRY TO CLOSE IT AT ALL LIKE THE WIND ISNT GONNA BLOW IT OVER OR ANYTHING ITS JUST OPEN,Ci-AH39fi3Y,-1.5
1344,2.0, IF YOU ARE AS BIG A FAN OF DISNEY AS I AM,cM3Yna7AavY,2.5
469,20.0,ITS EXTREMLY WELL MADE ,5W7Z1C_fDaE,2.8
1185,15.0,I DONT KNOW THEY DO SEEM THEY NEED TO LEARN ACTING BETTER ,BvYR0L6f2Ig,-1.2
411,30.0, SO IT IT WAS AND INTERESTING MOVIE,I5y0__X72p0,1.6
1485,28.0,AND CLUE HAS TO BE ONE OF THE MOST IDIOTIC VILLAINS EVER CAUSE WHAT IS A WHAT IS CLUE,BioHAh1qJAQ,-2.0
903,12.0, ITS COLORFUL,Iu2PFX3z_1s,1.6
952,1.0,BUT FOR THIS ONE I JUST DIDNT FEEL LIKE IT,1DmNV9C1hbY,-2.0
600,3.0,NUMBER ONE IT MEANS ITS MUCH SCARIER THAN YOU COULD IMAGINE,yDtzw_Y-7RU,0.75
942,11.0,AND UH ALTHOUGH LIKE I LIKE DARK HUMOR,tmZoasNr4rU,-0.6
1389,1.0,AND I THOUGHT THIS MOVIE WAS GONNA BE REALLY GOOD BECAUSE MATT DAMON WAS IN IT,c5xsKMxpXnc,-0.75
1381,7.0,AND WHATEVER SO NO IM NOT SAYING THIS MOVIE IS BAD COZ ITS ITS NOT,Qr1Ca94K55A,-0.8
626,5.0,AND EXCITED TO SEE IT ,Ci-AH39fi3Y,1.6
758,11.0,UM I I LIKED AGENT BRODYS CHARACTER,8d-gEyoeBzc,1.6
309,28.0,I THINK THATS HOW THEY COPE WITH GETTING JUM LIKE SCARED AND JUMP AND STUFF,Clx4VXItLTE,0.4
1174,4.0,BUT IN SOME WAYS THE FIRST ONE WAS BETTER ,BvYR0L6f2Ig,-1.0
1104,35.0,AND HE DOES A REALLY GOOD JOB,2WGyTLYerpo,2.2
244,12.0, GINNIFER GOODWIN IS FUN TO WATCH ,iiK8YX8oH1E,1.8
644,23.0, BECAUSE I SURE DIDNT SEE THE END COMING,Ci-AH39fi3Y,0.0
220,18.0, THIS LOOKS LIKE IT JUST HAS A POLYURETHANE COATING ON IT ,f9O3YtZ2VfI,-1.0
225,23.0, AND THEY DID A LOT OF GOOD THINGS WITH IT,f9O3YtZ2VfI,1.6
123,12.0,BUT IT ALL TURNS OUT GREAT IN THE END,6Egk_28TtTM,2.4
1474,17.0,AND LET ME TELL YOU THE GAMES LOOK GREAT,BioHAh1qJAQ,2.4
748,1.0, UM IM GONNA GIVE THE REASONS WHY I LIKE HIM ,8d-gEyoeBzc,1.2
821,19.0,I THOUGHT IT WAS FUN,vyB00TXsimI,1.2
946,15.0,MAYBE A LOT MORE THAN THE EXPENDABLES,tmZoasNr4rU,0.25
660,39.0,SO CONGRATULATIONS TO THE WRITERS FOR THAT,Ci-AH39fi3Y,2.0
1013,4.0,SO THIS WAS PRETTY FUNNY ,7JsX8y1ysxY,1.4
1307,10.0,ITS A JOKE REALLY,atnd_PF-Lbs,-2.4
904,13.0,ITS IN YOUR FACE,Iu2PFX3z_1s,0.25
847,1.0, MILA KUNIS AND JUSTIN TIMBERLAKE I THOUGHT THEY MADE A GREAT DUO,Jkswaaud0hk,2.4
610,13.0,UM ALL THIS STUFF ABOUT DEBTORS PRISON FOR INSTANCE DOESNT REALLY UM JIVE HERE IN 21ST CENTURY AMERICA,yDtzw_Y-7RU,-1.8
631,10.0, ONE OF THEM WAS GREAT,Ci-AH39fi3Y,1.0
649,28.0,UM SO YOU KNOW THAT WAS A LITTLE SURPRISING I GUESS,Ci-AH39fi3Y,0.4
778,1.0,THIS MOVIE IS ADORABLE,9J25DZhivz8,2.2
419,38.0,THE MUSIC KINDA DROVE A LOT OF THE ACTION,I5y0__X72p0,0.2
719,7.0,AND A FEW FUNNY PARTS,zhpQhgha_KU,1.0
368,9.0, WELL ITS A JOHNNY DEPP MOVIE SO ITS ENTERTAINING,WKA5OygbEKI,1.4
159,21.0,SO UNFORTUNATELLY I MUST SAY THIS ONE IS PROBABLY GONNA BE WAITING UNTIL IT COMES ON HBO ,Nzq88NnDkEk,-1.2
1476,19.0,UM THE CHO THE CHOREOGRAPHY OF THE FIGHTS THE SPECIAL EFFECTS I WAS SO HAPPY TO BE BACK IN THE GRID THAT I WASNT REALLY THINKING ABOUT THE STORY OR WHERE THE STORY WAS GOING,BioHAh1qJAQ,1.8
1320,2.0,FIRST OF ALL ID LIKE TO SAY LITTLE WOLVER JAMES OR JIMMY HES SO CUTE HES SO XXX ,cW1FSBF59ik,3.0
879,13.0, THE SECOND REASON THIS MOVIE WAS MADE AND IN MY OPINION THE REAL REASON IT WAS MADE AGAIN ITS SILVESTRE STALONE TELLING HIMSELF I STILL GOT IT,bvLlb-M3UXU,-1.2
525,8.0,HES VERY BORING,d6hH302o4v8,-2.2
317,5.0, LAUGHING I JUST JUST CANT STAND MOVIES WHERE ITS LIKE THE SAME PLOT AS LIKE 50 OTHER MILLION MOVIES,OtBXNcAL_lE,-2.8
1283,19.0,YOU CANT EVEN TELL FUNNY JOKES,c7UH_rxdZv4,-1.8
120,9.0, LIKE FOR EXAMPLE MY BROTHER IS FIVE YEARS OLD AND HE DIDNT THINK THIS MOVIE WAS SCARY AT ALL,6Egk_28TtTM,-0.4
864,18.0, UNLESS YOU LADIES GO TOGETHER TO SEE IT TOGETHER,Jkswaaud0hk,0.6
807,5.0,AND IS FUN TO WATCH,vyB00TXsimI,1.8
738,26.0,I THINK THAT THEY ALL HAVE LIKE A LOT OF ISSUES,zhpQhgha_KU,0.0
1255,7.0,BUT NOTHING SUCKS EITHER WHICH GAINS THE MOVIE SOME POINTS I GUESS,pLTX3ipuDJI,0.8
1365,7.0,THEY PRETEND THERES GONNA BE THIS BIG SCENE IT MAYBE LASTS ABOUT A MINUTE AND I WAS LIKE IS THAT IT,OQvJTdtJ2H4,-1.6
1199,3.0,BUT I WENT AND I DIG THIS MOVIE,ZUXBRvtny7o,1.0
461,12.0,MELISSA LEO WILL HAVE YOU CREEPED OUT TO YOUR INNER CORE WITH HER TINY LITTLE SMILE,5W7Z1C_fDaE,0.8
172,2.0, SURPRISED ME,W8NXH0Djyww,-0.25
772,25.0,PREDATOR IS REALLY WELL PACED MOVIE,8d-gEyoeBzc,1.8
133,10.0,EVEN THOUGH THE WHOLE MOVIE IS BASED ON WHETHER SHE GETS TO DUBLIN IN TIME YOURE NEVER REALLY WORRIED ABOUT IT BECAUSE YOU KNOW SHE GETS THERE,TvyZBvOMOTc,-0.4
844,20.0,HE LOOKED AWESOME WHILE HE DID IT BUT YEAH OK SO LET ALL THE GIRLS WHO WANT ALL DISAGREE WITH ME COZ THEY ALL THINK THIS IS AN AMAZING MOVIE BUT THEY ALL THINK HE WAS AMAZING BECAUSE THEY WERE STARING AT DANIEL CRAIG THE WHOLE TIME THEYR GOING OH MY GOSH HES SO HOT,rnaNMUZpvvg,0.8
721,9.0,I DONT KNOW I JUST THOUGHT I JUST THOUGHT IT WAS REALLY REALLY SAD,zhpQhgha_KU,-1.0
179,9.0,THE ALL THE ANIMALS WERE JUST SO FUNNY,W8NXH0Djyww,2.0
429,9.0,I GUESS FOR THIS KIND OF MOVIE THE PLOT IS IS IS THREADBARE,LSi-o-IrDMs,-1.0
36,27.0,THE ACTING RANGES FROM MEDIOCRITY TO HAMFISTED FROM THE LIVE ACTION ACTORS,Af8D0E4ZXaw,-1.6
318,6.0,JUST DIFFERENT JUST DIFFERENT PEOPLE PLAYING THE ROLES,OtBXNcAL_lE,0.4
972,7.0, UM FUNNY JOKES THAT THE KIDS WOULD GET,6_0THN4chvY,0.8
1251,3.0,ALTHOUGHT WHAT WASNT THE SAME WAS THE CONNECTION TO EACH OTHER WHICH FIRST MOVIE HAD AND THIS ONE NOT,pLTX3ipuDJI,-1.2
1156,24.0,I MEAN THIS MOVIE MAKES UM MAKES UM STAR WARS PRETTY CLOSE,8qrpnFRGt2A,0.0
962,11.0, BUT FOR ME I WAS JUST A LITTLE BORED,1DmNV9C1hbY,-1.8
1229,33.0, CAUSE ITS WORTH IT,ZUXBRvtny7o,0.8
173,3.0,UH IT WAS SO MUCH BETTER THAN I THOUGHT IT WAS GOING TO BE,W8NXH0Djyww,2.4
1415,12.0, IT SEEMS LIKE THE WRITERS AND CREATORS TOOK THE EASY WAY OUT,dq3Nf_lMPnE,-1.6
737,25.0,AND I THINK THAT THATS THATS A VERY RELATABLE ISSUE,zhpQhgha_KU,1.0
224,22.0, LIKE I SAID BEFORE IS A VERY INTERESTING IDEA,f9O3YtZ2VfI,1.4
696,12.0, BUT THE HUMOR REALLY JUST NAILED IT,_dI--eQ6qVU,2.6
106,26.0,BUT IT AS GREAT,k5Y_838nuGo,2.0
1170,12.0,SINCE THE SMURFS ARE SO ADORABLE AND THEY GO ON THRILLING ADVENTURES,9c67fiY0wGQ,2.0
917,10.0,BECAUSE THEY ARENT PLAYING TO YOU THEYRE PLAYING TO A NEW AUDIENCE OF KIDS WHO DONT KNOW ANYTHING ABOUT THESE CHARACTERS IN THE FIRST PLACE,nzpVDcQ0ywM,-1.0
291,10.0,LIKE IT DOSNT JUST LIKE AND I WAS AT UM THERES A PROBLEM THERES A STORY LIKE ADN ITS LIKE STREIGHT AWAY FUN STORYLINE STARTED,Clx4VXItLTE,0.2
1066,18.0,AND WE REALLY WANTED TO GET OUT OF THE HOUSE UM LAST NIGHT,G-xst2euQUc,0.0
1193,23.0,BUT MARY ELIZABETH WINSTEAD I MUST SAY SHE IS A TERIFFIC AND BEAUTIFUL AND TALENTED ACRESS,BvYR0L6f2Ig,2.4
444,24.0,I WOULD LOVE THAT,LSi-o-IrDMs,1.8
40,31.0,BUT STILL ITS THAT KIND OF MOVIE MAKING ,Af8D0E4ZXaw,-0.4
850,4.0,YOU GUYS ARE YOURE GONNA GET TO ENJOY,Jkswaaud0hk,1.0
269,19.0, BUT DONT EXPECT MUCH ,Bfr499ggo-0,-1.8
1461,4.0,AND EVERYTHING AND NOW TECHNOLOGY ACTUALLY DOES ANYTHING AND EVERYTHING,BioHAh1qJAQ,0.25
798,21.0, THAT WAS A GREAT EFFECT,9J25DZhivz8,1.2
896,5.0,UM WHAT REALLY NEED ABOUT THIS MOVIE IS THE CHAMICAL BROTHERS DID THE SOUNDTRACKS WHATS PULSE POUNDING THE ENTIRE WAY THROUGH,Iu2PFX3z_1s,1.4
